State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Maharashtra,2684,259,178,2247,14/04/2020 23:10:25,MH,0,0,0,
Delhi,1561,31,30,1500,14/04/2020 22:11:17,DL,0,0,0,
Tamil Nadu,1204,81,12,1111,14/04/2020 18:35:41,TN,0,0,0,
Rajasthan,1034,147,11,876,15/04/2020 13:50:25,RJ,29,0,0,
Madhya Pradesh,741,64,53,624,14/04/2020 23:20:27,MP,0,0,0,
Uttar Pradesh,660,50,8,602,14/04/2020 21:00:25,UP,0,0,0,
Gujarat,695,59,30,606,15/04/2020 13:10:27,GJ,45,0,2,
Telangana,644,110,18,516,14/04/2020 22:35:25,TG,0,0,0,
Andhra Pradesh,502,16,11,475,15/04/2020 12:51:21,AP,18,0,0,
Kerala,386,211,2,173,14/04/2020 18:10:28,KL,0,0,0,
Jammu and Kashmir,278,30,4,244,14/04/2020 19:50:25,JK,0,0,0,
Karnataka,277,71,10,196,15/04/2020 13:38:59,KA,17,0,0,
Haryana,198,55,3,140,14/04/2020 18:10:31,HR,0,0,0,"14 recovered Italian tourists included in tally, 1 death in Ambala unaccounted."
West Bengal,213,37,7,169,15/04/2020 10:55:25,WB,23,1,0,
Punjab,184,27,13,144,15/04/2020 01:10:28,PB,0,0,0,"As WB state bulletin only reports the number of active cases, the numbers for WB are currently updated according to https://www.mohfw.gov.in"
Bihar,70,29,1,40,15/04/2020 13:39:51,BR,4,0,0,
Odisha,60,18,1,41,14/04/2020 18:10:33,OR,0,0,0,
Uttarakhand,37,9,0,28,14/04/2020 20:40:25,UT,0,0,0,
Chhattisgarh,33,13,0,20,15/04/2020 11:00:25,CT,0,0,0,Death of Tibetan refugee included
Himachal Pradesh,33,13,2,18,15/04/2020 11:20:26,HP,0,0,0,
Assam,32,0,1,31,14/04/2020 23:05:31,AS,0,0,0,
Jharkhand,27,0,2,25,13/04/2020 20:50:25,JH,0,0,0,
Chandigarh,21,7,0,14,10/04/2020 18:10:27,CH,0,0,0,
Ladakh,17,12,0,5,13/04/2020 21:15:27,LA,0,0,0,
Andaman and Nicobar Islands,11,10,0,1,30/03/2020 11:27:27,AN,0,0,0,
Goa,7,5,0,2,11/04/2020 23:26:44,GA,0,0,0,
Puducherry,7,1,0,6,10/04/2020 17:50:26,PY,0,0,0,
Manipur,2,1,0,1,06/04/2020 22:35:54,MN,0,0,0,
Tripura,2,0,0,2,10/04/2020 20:00:27,TR,0,0,0,
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0,
Arunachal Pradesh,1,0,0,1,02/04/2020 11:42:31,AR,0,0,0,
Dadra and Nagar Haveli,1,0,0,1,06/04/2020 15:22:25,DN,0,0,0,
Nagaland,1,0,0,1,12/04/2020 23:35:29,NL,0,0,0,
Meghalaya,1,0,1,0,15/04/2020 10:45:25,ML,0,0,1,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
